mesh_id,degree,y_u,y_ustar,ratio_uStar_over_u
mesh1,1,1.48271898545794,0.161455542416909,0.108891532380995
mesh1,2,3.74807043153328e-14,4.2889135682784e-14,1.14429908578956
mesh1,3,4.38565236487048e-13,2.78609496222234e-13,0.635274921591881
mesh1,4,1.05525124854177e-11,4.76446655117778e-12,0.451500678891562
mesh2,1,0.370274578396993,0.0202939656613777,0.0548078827048702
mesh2,2,9.18060631005144e-14,8.49508505151584e-14,0.925329413397778
mesh2,3,2.90449544501287e-13,1.49408082391874e-13,0.514402880708295
mesh2,4,2.77101819015296e-12,8.57993020682642e-13,0.309630959382219
mesh3,1,0.0924687637009238,0.00255177673386306,0.0275960944186124
mesh3,2,1.67101149287988e-13,1.40709620541451e-13,0.842062553974105
mesh3,3,3.54018965959085e-13,2.54301242218568e-13,0.718326605834891
mesh3,4,9.10790797193262e-13,3.69564699119999e-13,0.40576244320745
mesh4,1,0.0231019402469574,0.000319977279212897,0.0138506669047003
mesh4,2,4.22873157446202e-13,3.8919841047819e-13,0.920366789958058
mesh4,3,8.12662852867929e-13,6.46966556374841e-13,0.796106963781676
mesh4,4,1.13961386944955e-12,6.14673593985445e-13,0.539370053720336
mesh5,1,0.00577345149259759,4.00543161367901e-05,0.00693767258426707
mesh5,2,6.22712521154384e-13,5.14980119407363e-13,0.826994964631019
mesh5,3,1.4940658578073e-12,1.0900133640852e-12,0.729561791663532
mesh5,4,2.21033512522807e-12,1.15517485136206e-12,0.522624301707582
mesh6,1,0.0014431031588183,5.00995318252874e-06,0.00347165284194317
mesh6,2,1.38974145469327e-12,1.18380364279894e-12,0.851815737956971
mesh6,3,3.004451102414e-12,2.16737927266677e-12,0.721389431475632
mesh6,4,6.45809133303943e-12,5.22015970709266e-12,0.808313081666477
mesh7,1,0.00144311169233466,5.87517589979262e-06,0.00407118584860732
mesh7,2,1.50334250789972e-12,1.34534918067509e-12,0.894905301756316
mesh7,3,2.89064963609105e-12,2.17909000590689e-12,0.753840928592654
mesh7,4,6.07974641685642e-12,4.68038500938139e-12,0.769832273991687
